timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1737042709778,566,Get List of Containers,200,,Http URL/API Test 1-14,text,true,,457,1335,32,32,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/containers?pageNumber=4&pageSize=16&sortKey=createdTime&sortDirection=DESC,566,0,0
1737042665830,45211,Search Zones for List For Map,200,,Http URL/API Test 1-45,text,true,,5374,1100,31,31,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/zones/map/list?pageSize=16&pageNumber=3&&sortKey=occupied&sortDirection=DESC,45211,0,187
1737042708076,3472,Get List of Alert Profiles,200,,Http URL/API Test 1-43,text,true,,458,1193,31,31,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/alertprofiles?pageNumber=5&pageSize=16&sortKey=createdTime&sortDirection=ASC,3472,0,202
1737042683249,32612,Get List of Devices,200,,Http URL/API Test 1-28,text,true,,9296,1276,31,31,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/devices?pageNumber=3&pageSize=16&sortKey=createdTime&sortDirection=DESC,32612,0,0
1737042686918,35646,Get List of Devices,200,,Http URL/API Test 1-35,text,true,,9398,1238,31,31,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/devices?pageNumber=5&pageSize=16&sortKey=createdTime&sortDirection=DESC,35646,0,0
1737042722564,1570,Get list of Tasks,200,,Http URL/API Test 1-35,text,true,,7202,1148,31,31,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/tasks?pageNumber=5&pageSize=16,1570,0,180
1737042667640,59322,Search Zones for List For Map,200,,Http URL/API Test 1-48,text,true,,5337,1100,31,31,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/zones/map/list?pageSize=16&pageNumber=5&&sortKey=occupied&sortDirection=DESC,59322,0,0
1737042726959,666,Get the List of Default config for the Departments,200,,Http URL/API Test 1-48,text,true,,954,1106,31,31,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/department/config/list?sortKey=enName,666,0,159
1737042683238,44387,Search Zones for List For Map,200,,Http URL/API Test 1-2,text,true,,5412,1100,31,31,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/zones/map/list?pageSize=16&pageNumber=1&&sortKey=occupied&sortDirection=DESC,44387,0,0
1737042683226,44565,Search Devices for List For Map,200,,Http URL/API Test 1-8,text,true,,2913,1099,31,31,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/devices/map/list?pageSize=8&pageNumber=3&sortKey=status&sortDirection=DESC,44565,0,0
